horizon,threshold,accuracy,f1_macro,f1_weighted,precision_0,recall_0,precision_2,recall_2
6,0.032,0.5844185515193054,0.3021266599094639,0.690880388388224,0.047932330827067667,0.28651685393258425,0.051319648093841645,0.23333333333333334
6,0.034,0.6068083161983093,0.29858545167061995,0.7133782335648817,0.04906771344455348,0.3125,0.032,0.16666666666666666
6,0.036,0.6415352981494175,0.3021296892901691,0.7449172108778185,0.03816793893129771,0.26515151515151514,0.03327495621716287,0.1919191919191919
6,0.038,0.667352067626228,0.3007844459315469,0.7673953712970049,0.03538812785388128,0.25833333333333336,0.022132796780684104,0.13253012048192772
6,0.04,0.6938542380625999,0.3070607288237979,0.7894834789376818,0.030303030303030304,0.2358490566037736,0.02733485193621868,0.17391304347826086
7,0.01,0.4034726981951108,0.37212518893881974,0.4244781789012319,0.2329624478442281,0.36373507057546145,0.274079874706343,0.3458498023715415
7,0.012,0.42243545807630795,0.3733154389401603,0.454594860810038,0.210412147505423,0.3697585768742058,0.2458366375892149,0.36556603773584906
7,0.014,0.42951793465844185,0.3602420193386224,0.4700741482637891,0.18730407523510972,0.3453757225433526,0.20863309352517986,0.3551020408163265
7,0.016,0.45099383139136395,0.36483622385864556,0.5010751206962537,0.17697063369397217,0.3791390728476821,0.1937128292268479,0.36018957345971564
7,0.018,0.46675805346127486,0.35445409846299114,0.5251940869352285,0.16091954022988506,0.37333333333333335,0.15978456014362658,0.33458646616541354
7,0.02,0.4809230066255426,0.34766986883826195,0.5477776310287565,0.14051724137931035,0.35357917570498915,0.14324817518248176,0.3398268398268398
7,0.022,0.48503541238291065,0.33642183236760625,0.5605634376440484,0.12631578947368421,0.3851851851851852,0.12124248496993988,0.3032581453634085
7,0.024,0.5044551062371487,0.3252422781184538,0.5889326078080716,0.0985178727114211,0.3294460641399417,0.10455486542443064,0.3005952380952381
7,0.026,0.5343842814713274,0.32724512732067673,0.6235116635538591,0.0999131190269331,0.38333333333333336,0.08382526564344746,0.24825174825174826
7,0.028,0.5421521590130226,0.32339484275631186,0.6353934986124277,0.08857395925597875,0.37453183520599254,0.08131067961165049,0.27800829875518673
7,0.03,0.5451222298377885,0.3130269370251112,0.6452584836606593,0.07424381301558204,0.32793522267206476,0.0695754716981132,0.29207920792079206
7,0.032,0.562257253826822,0.3115488076989763,0.6662642544548626,0.0639481000926784,0.3399014778325123,0.06598984771573604,0.2988505747126437
7,0.034,0.5681973954763536,0.30083221436147245,0.6768794192880987,0.054367201426024955,0.33516483516483514,0.05106382978723404,0.25
7,0.036,0.6088645190769933,0.30584682942418695,0.7138626251472203,0.04906771344455348,0.31446540880503143,0.04487179487179487,0.2222222222222222
7,0.038,0.6157185286726068,0.3033450422594496,0.7235959266238229,0.04,0.2746478873239437,0.045171339563862926,0.27358490566037735
7,0.04,0.6477039067854695,0.3021642731805796,0.751392568336201,0.03634361233480176,0.2661290322580645,0.032432432432432434,0.20454545454545456
8,0.01,0.4018734292894677,0.37506747197604495,0.41811115549036804,0.2513262599469496,0.38555442522889116,0.28511705685618727,0.3223062381852552
8,0.012,0.4201507882111035,0.37869913467394195,0.44382104702901554,0.23651452282157676,0.3953757225433526,0.26288659793814434,0.33260869565217394
8,0.014,0.4320310715101668,0.3764182722171822,0.4649061225644809,0.22763636363636364,0.4167776298268975,0.22454090150250416,0.33921815889029006
8,0.016,0.44528215672835275,0.3662808710373546,0.48534302751935704,0.19290123456790123,0.3834355828220859,0.207020702070207,0.3281027104136947
